name,title,description,datatype,required
identifier,Номер дозволу,Номер дозволу на розміщення зовнішньої реклами. Наприклад: 123.,string,true
issued,Дата видання дозволу,Дата дозволу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
authorityName,Назва органу,"Назва органу, який видав дозвіл. Наприклад: Департамент містобудування та архітектури Ірпінської міської ради.",string,true
authoritytIdentifier,Ідентифікатор органу,"Код ЄДРПОУ органу, який видав дозвіл. Наприклад: 01234567.",string,true
distributorName,Ім'я або назва розповсюджувача,"Прізвище, ім’я, по батькові або назва розповсюджувача зовнішньої реклами. Наприклад: ТОВ «Київреклама».",string,true
distributorIdentifier,Ідентифікатор розповсюджувача,Код ЄДРПОУ розповсюджувача. Наприклад: 01234567. У випадку ФОП дані про РНОКПП знеособлюються.,string,true
status,Статус,"Статус дозволу може мати одне зі значень: Чинний, Втратив чинність за терміном дії, Анульований, Перевиданий. Наприклад: Чинний.",string,true
validFrom,Дата початку дії,"Дата, з якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2017-05-30.",date,true
validThrough,Дата завершення дії,"Дата, до якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2020-06-30.",date,true
contractNumber,Номер договору,Номер договору на тимчасове користування місцем розміщення. Наприклад: 2018-21а.,string,true
contractDateSigned,Дата договору,Дата укладання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-06-30.,date,true
type,Вид,"Вид рекламного засобу, відповідно до переліку видів, що використовується розпорядником. Наприклад: Стенд, Щит, Панно, Транспарант, Трол, Короб, Табло, Екран тощо. Наприклад: Щит.",string,true
planesValue,Кількість рекламних площин,Кількість рекламних площин. Наприклад: 2.,integer,true
horizontalSizeValue,Розмір по горизонталі,Розмір рекламного засобу по горизонталі в метрах. Число вказується без зазначення одиниці вимірювання («м.»). Наприклад: 20. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
verticalSizeValue,Розмір по вертикалі,Розмір рекламного засобу по вертикалі в метрах. Число вказується без зазначення одиниці вимірювання («м.»). Наприклад: 20. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
squareValue,Площа,Площа рекламного засобу у квадратних метрах. Число вказується без зазначення одиниці вимірювання («кв. м.»). Наприклад: 200. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
addressPostCode,Поштовий індекс,Поштовий індекс місця розташування рекламного засобу. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону місця розташування рекламного засобу. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер об’єкта,Номер об’єкта (будівлі) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressDescription,Опис розміщення,Опис вказується за потреби чіткіше визначити розміщення. Наприклад: зовнішня стіна будинку на рівні 3-го поверху.,string,false
geoCoordinatesLatitude,Географічна широта,Географічна широта місця розташування рекламного засобу. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати null.,decimal,true
geoCoordinatesLongitude,Географічна довгота,Географічна довгота місця розташування рекламного засобу. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати null.,decimal,true
imageURL,Фото,"Посилання на фото місця розташування рекламного засобу, що оприлюднене в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://lmr.gov.ua/ad/123.jpg.",anyURI,true
