name,title,description,datatype,required
identifier,Код,Семизначний код бюджетної програми. Наприклад: 0123456.,string,true
period,Період,"Число, що позначає календарний рік бюджетного періоду. Наприклад: 2017.",gYear,true
title,Найменування,Найменування бюджетної програми. Наприклад: Надання дошкільної освіти.,string,true
executantName,Найменування виконавця,Найменування відповідального виконавця програми. Наприклад: Департамент освіти Луцької міської ради.,string,true
executantIdentifier,Ідентифікатор виконавця,Код ЄДРПОУ відповідального виконавця програми. Наприклад: 01234567.,string,true
passportURL,Паспорт,"Посилання на паспорт бюджетної програми, що оприлюднений в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.xlsx.",anyURI,true
reportURL,Звіт,"Посилання на звіт про виконання паспорта бюджетної програми, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.xlsx. У випадку, якщо звіт ще не оприлюднений, вказати null.",anyURI,false
orderType,Вид розпорядчого документа,"Вид розпорядчого документа, яким затверджено паспорт бюджетної програми. Наприклад: Наказ.",string,true
orderTitle,Назва розпорядчого документа,"Назва розпорядчого документа, яким затверджено паспорт бюджетної програми. Наприклад: Про затвердження паспорта бюджетної програми «Надання дошкільної освіти».",string,true
orderDateAccepted,Дата ухвалення розпорядчого документа,Дата ухвалення розпорядчого документа у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
orderNumber,Номер розпорядчого документа,Номер розпорядчого документа. Наприклад: 1234-р.,string,true
publisherName,Назва видавника,"Повна назва органу, що затвердив розпорядчий документ. Наприклад: Фінансове управління Луцької міської ради.",string,true
publisherIdentifier,Ідентифікатор видавника,"Код ЄДРПОУ органу, що затвердив розпорядчий документ. Наприклад: 01234567.",string,true
