name,title,description,datatype,required
id,Ідентифікатор,"Ідентифікатором об’єкта може може бути код ЄДРПОУ балансоутримувача та інвентарний номер об’єкта, що розділені знаком дефіс «-». Наприклад: 01234567-10000234. Розпорядники можуть використовувати власні ідентифікатори.",string,true
number,Інвентарний номер,Інвентарний номер об’єкта. Наприклад: 10000234.,string,true
holderName,Назва балансоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: Міська лікарня №4 Житомирської міської ради.",string,true
holderID,Ідентифікатор балансоутримувача,"Код ЄДРПОУ юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: 01411082. Якщо балансоутримувач відсутній, зазначається null.",string,true
serialNumber,Серійний номер,Серійний номер об'єкта. Наприклад: 12345-67890. У разі відсутності вказати null.,string,false
passportNumber,Номер паспорта,Номер паспорта об'єкта. Наприклад: 12345-67890. У разі відсутності вказати null.,string,false
title,Найменування,"Найменування об'єкта. Наприклад: Apple MacBook Pro 15"" Retina.",string,true
model,Модель,Модель об'єкта. Наприклад: Z0RF00052'.,string,true
producerName,Виробник,Назва виробника об'єкта. Наприклад: Apple Inc.,string,true
yearMade,Рік випуску,Рік випуску об'єкта (лише число). Наприклад: 2015.,integer,true
quantity,Кількість,Кількість одиниць. Наприклад: 3. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
unitName,Одиниця виміру,"Назва одиниці виміру, наприклад, штука, пара, набір тощо. Наприклад: шт.",string,true
primaryValueAmount,Первісна вартість,"Первісна (переоцінена) в гривнях без зазначення валюти («грн», «UAH»). Наприклад: 123000,00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
amortizationValueAmount,Сума зносу,"Сума зносу (накопиченої амортизації) в гривнях без зазначення валюти («грн», «UAH»). Наприклад: 3000,00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
bookValueAmount,Балансова вартість,"Балансова вартість в гривнях без зазначення валюти («грн», «UAH»). Наприклад: 120000,00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
usageDuarationInYears,Корисне використання,Строк корисного використання в роках (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 10. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
