name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором цільової програми є номер нормативно-правового акта, яким вона затверджена програма, та дата його прийняття у форматі ISO 8601 (рррр-мм-дд), що розділені символом дефіс. Наприклад, цільова програма, затверджена рішенням №719 від 29 травня 2014 року, матиме ідентифікатор 719-2014-05-29. Розпорядники можуть використовувати також власні унікальні ідентифікатори.",string,true
title,Найменування,Найменування програми. Наприклад: Програма розвитку позашкільної освіти на 2018—2021 роки.,string,true
validFrom,Початок,"Календарний рік (лише число), з початку якого відбувається впровадження програми. Наприклад: 2017.",gYear,true
validThrough,Завершення,"Календарний рік (лише число), до завершення якого відбувається впровадження програми. Наприклад: 2017.",gYear,true
status,Статус,"Статус програми може мати одне зі значень: Чинна, Завершена, Скасована. Наприклад: Чинна.",string,true
executantName,Найменування виконавця,Найменування відповідального виконавця програми. Наприклад: Департамент освіти Луцької міської ради.,string,true
executantIdentifier,Ідентифікатор виконавця,Код ЄДРПОУ відповідального виконавця програми. Наприклад: 01234567.,string,true
url,Посилання,"Посилання на актуальну версію цільової програми, що оприлюднена в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",anyURI,true
orderType,Вид розпорядчого документа,"Вид розпорядчого документа, яким затверджена цільова програма. Наприклад: Наказ.",string,true
orderTitle,Назва розпорядчого документа,"Назва розпорядчого документа, яким затверджена цільова програма. Наприклад: Про затвердження програми розвитку позашкільної освіти на 2018—2021 роки.",string,true
orderDateAccepted,Дата ухвалення розпорядчого документа,Дата ухвалення розпорядчого документа у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
orderNumber,Номер розпорядчого документа,Номер розпорядчого документа. Наприклад: 1234-р.,string,true
orderURL,Посилання на розпорядчий документ,"Посилання на розпорядчий документ, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",anyURI,true
publisherName,Назва видавника,"Повна назва органу, що затвердив розпорядчий документ. Наприклад: Луцька міська рада.",string,true
publisherIdentifier,Ідентифікатор видавника,"Код ЄДРПОУ органу, що затвердив розпорядчий документ. Наприклад: 01234567.",string,true
