name,title,description,datatype,required
id,Ідентифікатор,"Унікальним ідентифікатором договору є рік його підписання та номер, що розділені знаком дефіс. Наприклад: 2018-345/п. Розпорядники можуть використовувати власні ідентифікатори.",string,true
number,Номер договору,Номер договору (без знака «№»). Наприклад: 345/п.,string,true
dateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
investorName,Ім'я або назва інвестора,"Назва юридичної особи інвестора або прізвище, ім’я, по батькові ФОП. Наприклад: ТОВ «Інвест-плюс».",string,true
investorID,Ідентифікатор інвестора,Код ЄДРПОУ юридичної особи інвестора або РНОКПП ФОП. Наприклад: 01234567.,string,true
authorityName,Назва органу,"Назва органу, який є стороною договору. Наприклад: Виконавчий комітет Вінницької міської ради.",string,true
authorityID,Ідентифікатор органу,"Код ЄДРПОУ органу, який є стороною договору. Наприклад: 01234567.",string,true
partiesName,Інші сторони договору,"Назва (назви) інших сторін договору. Наприклад: Департамент містобудування та архітектури Вінницької міської ради. У випадку кількох сторін розділити значення комами. Якщо сторони відсутні, вказати null.",string,false
partiesID,Ідентифікатори інших сторін договору,"Код (коди) ЄДРПОУ інших сторін договору. Наприклад: 01234567. У випадку кількох сторін розділити значення комами. Якщо сторони відсутні, вказати null.",string,false
description,Опис,Опис предмета договору. Наприклад: Установлення паркувальних автоматів у кількості 20 (двадцяти) одиниць та автоматичних в’їзних та виїзних терміналів у кількості 5 (п’яти) одиниць для паркування у місті Вінниці.,string,true
periodStartDate,Початок дії,Дата початку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
periodEndDate,Завершення дії,Дата завершення дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-06.,date,true
status,Статус  договору,"Статус договору може мати одне зі значень: Чинний, Виконаний, Розірваний, Скасований. Наприклад: Чинний.",string,true
url,Посилання,Посилання на перегляд або завантаження договору включно з усіма додатками. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc.,anyURI,true
decisionType,Вид НПА,"Якщо укладення договору передбачає прийняття нормативно-правового акта (НПА), яким затверджуються умови договору тощо, у цій та наступній колонках подається інформація про НПА. Вид нормативно-правового акта, яким затверджено договір. Наприклад: Рішення.",string,false
decisionTitle,Назва НПА,"Назва нормативно-правового акта, яким затверджено договір. Наприклад: Про затвердження умов інвестиційних угод.",string,false
decisionIssued,Дата ухвалення НПА,Дата ухвалення нормативно-правового акта у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,false
decisionNumber,Номер НПА,Номер нормативно-правового акта. Наприклад: 1234-р.,string,false
decisionURL,Посилання на НПА,"Посилання на НПА, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/lex/1234-p.",string,false
publisherName,Назва видавника НПА,"Повна назва видавника НПА, яким затверджено договір. Наприклад: Виконавчий комітет Вінницької міської ради.",string,false
publisherID,Ідентифікатор видавника НПА,Код ЄДРПОУ видавника. Наприклад: 01234567.,string,false
