name,title,description,datatype,required
trip_id,Ідентифікатор рейсу,Ідентифікатор рейсу з таблиці trips (колонка trip_id). Наприклад: 25.,string,true
arrival_time,Час прибуття,"Час прибуття транспортного засобу на зупинку під час конкретного рейсу у форматі гг:хх:сс (24-годинний формат). Наприклад: 09:34:00. Якщо не визначено окремий час для прибуття і відправлення, у колонках arrival_time та departure_time записується однакове значення. Час прибуття обов’язково вказується для першої та останньої зупинки поїздки.",time,true
departure_time,Час відправлення,"Час відправлення транспортного засобу від зупинки під час конкретного рейсу у форматі гг:хх:сс (24-годинний формат). Наприклад: 09:34:00. Якщо не визначено окремий час для прибуття і відправлення, у колонках arrival_time та departure_time записується однакове значення. Час прибуття обов’язково вказується для першої та останньої зупинки поїздки.",time,true
stop_id,Ідентифікатор зупинки,Ідентифікатор зупинки громадського транспорту або станції з таблиці stops (колонка stop_id).,string,true
stop_sequence,Порядок зупинки,"Порядковий номер зупинки на рейсі. Значення мають зростати, однак можуть бути непослідовними. Перша зупинка (відправлення) має номер 1, друга — 2, третя — 7. Наприклад: 2.",integer,true
stop_headsign,Напрямок руху,"Напрямок руху на рейсі з даної зупинки, що зазначається у графіках або на інформаційних табло. Наприклад: Індустріальний мікрорайон.",string,false
pickup_type,Тип посадки,"Наявність зупинки руху для посадки пасажирів кодується такими цифрами: 0 — посадка проводиться регулярно відповідно до графіка, 1 — посадка пасажирів не проводиться. Наприклад: 0. Незаповнена колонка означає «посадка проводиться регулярно».",integer,false
drop_off_type,Тип висадки,"Наявність зупинки руху для висадки пасажирів кодується такими цифрами: 0 — висадка проводиться регулярно відповідно до графіка, 1 — висадка пасажирів не проводиться. Наприклад: 0. Незаповнена колонка означає «висадка проводиться регулярно».",integer,false
shape_dist_traveled,Подолана відстань,"Подолана відстань від початку поїздки у кілометрах. Розділювачем десяткових значень є крапка. Наприклад, якщо автобус здолав 5.25 км від початку поїздки до зупинки, вказується 5.25.",string,false
timepoint,Точність,"Точність прибуття та відправлення транспорту від зупинки кодується такими числами: 0 — приблизний час, 1 — точний час. Порожня комірка означає точний час. Незаповнена колонка означає «точний час».",string,false
