name,title,description,datatype,required
route_id,Ідентифікатор маршруту,Унікальний ідентифікатор маршруту громадського транспорту. Ідентифікатором може бути номер маршруту. Наприклад: 23А.,string,true
agency_id,Ідентифікатор перевізника,"Ідентифікатор перевізника з таблиці agency (колонка agency_id). Наприклад: 01234567. Якщо на маршруті працює декілька перевізників, інформація для кожного з перевізників указується в окремому рядку. При цьому ідентифікатор маршруту та інша інформація мають дублюватися.",string,true
route_short_name,Коротка назва,"Коротка назва маршруту, що використовується для навігації пасажирів у схемах, графіках руху. Як правило, це номер маршруту. Наприклад: 23А.",string,true
route_long_name,Повна назва,"Повна назва маршруту або назва, що використовується в документах. Наприклад: Автобусний маршрут №23А вул. Марії Приймаченко — Металургійний комбінат.",string,true
route_desc,Опис маршруту,"Опис маршруту містить кількісну та якісну інформацію про маршрут. Наприклад: Автобус розпочинає рух із мікрорайону Заріччя, рухається центром міста (вул. Сергія Параджанова) та прибуває до залізничного вокзалу. Тривалість маршруту 35 хв. Частота відправлення автобусів 5-25 хв.",string,false
route_type,Тип транспорту,"Тип транспортних засобів, що використовуються на маршруті, позначається кодом (лише цифра): 0 — трамвай, легка залізниця; 1 — метро; 2 — залізниця; 3 — автобус, тролейбус; 7 — фунікулер. Наприклад: 3.",integer,true
route_url,Посилання,"Посилання на сторінку в мережі Інтернет, що містить інформацію про маршрут. Посилання має починатися з http:// або https://. Наприклад: https://www.example.com.ua/r23",anyURI,false
route_color,Колір маршруту,"Колір, яким позначається лінія маршруту на схемах. Він може бути позначеним словом у чоловічому роді або кодом. Наприклад: червоний. Якщо розпорядник має навички роботи з кодами кольорів HTML, бажано вказати код. Наприклад: FF0000. Якщо колір відсутній, зазначається білий колір або FFFFFF.",string,false
route_text_color,Колір тексту,"Колір, яким позначається текст про маршрут на схемах. Він може бути позначеним словом у чоловічому роді або кодом. Наприклад: чорний. Якщо розпорядник має навички роботи з кодами кольорів HTML, бажано вказати код. Наприклад: 000000. Якщо колір відсутній, зазначається білий колір або FFFFFF.",string,false
route_sort_order,Порядковий номер,"Довільний порядковий номер використовується для того, щоб розташувати маршрути в зручному порядку для користувачів таблиці. Наприклад: 002.",string,false
