name,title,description,datatype,required
identifier,Ідентифікатор,Реєстраційний номер або будь-який інший ідентифікатор звернення. Наприклад: 2019/102.,string,true
dateReceived,Дата реєстрації,Дата реєстрації звернення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-30.,date,true
number,Номер у черзі,Номер звернення в черзі на отримання земельної ділянки (ціле число). Наприклад: 19.,integer,true
name,"Прізвище, ім'я та по батькові","Прізвище, ім'я та по батькові заявника. Наприклад: Петренко Олег Іванович.",string,true
benefitType,Першочерговість,Наявність підстави для першочергового отримання земельної ділянки відповідно до частини 1 статті 34 Закону України «Про місцеве самоврядування в Україні» може мати одне зі значень: Так або Ні. Інформація про тип та підставу отримання пільги знеособлюється. Наприклад: Так.,string,true
status,Статус,"Статус зверення може мати одне зі значень: Чинне, Виконане, Відкликане. Наприклад: Чинне.",string,true
decisionType,Вид НПА,"У випадку відведення земельної ділянки на звернення, у цій та наступних колонках зазначається інформація про відповідний нормативно-правовий акт (НПА). Вид НПА, яким відведена ділянка. Наприклад: Рішення. В іншому випадку в цій та наступних колонках вказати null.",string,false
decisionTitle,Назва НПА,"Назва НПА, яким відведена ділянка. Наприклад: Про відведення земельних ділянок для садибної забудови мікрорайону Промисловий.",string,false
decisionIssued,Дата ухвалення НПА,Дата ухвалення НПА у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,false
decisionNumber,Номер НПА,Номер НПА (без знаку «№»). Наприклад: 1234-р.,string,false
decisionURL,Посилання на НПА,"Посилання на копію НПА, оприлюднену в мережі Інтернет. Адреса має розпочинатися з http:// або https://. Наприклад: https://uzhhorod.gov.ua/doc/rishennja-987.",anyURI,false
publisherName,Назва видавника НПА,Повна назва видавника НПА. Наприклад: Виконавчий комітет Тернопільської міської ради.,string,false
publisherIdentifier,Ідентифікатор видавника НПА,Код ЄДРПОУ видавника. Наприклад: 01234567.,string,false
